date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:59:05	960683/960683	---M--	200	added ('OK')	image/jpeg	etag:%22ea8ab-5bc3dc8e3a2fe%22	http://citylinegroup.com.tr/sayfa/resim_cache/131-1dfbd557779276fedbc0f80a769144a7_farkbilisim.com_1920X1079--a--a.jpeg	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/resim_cache/131-1dfbd557779276fedbc0f80a769144a7_farkbilisim.com_1920X1079--a--a.jpg	(from http://citylinegroup.com.tr/ru/exodus_residence.html)
00:59:57	515593/515593	---M--	200	added ('OK')	image/jpeg	etag:%227de09-5bc40f63dda45%22	http://citylinegroup.com.tr/sayfa/resim_cache/141-072ea05766818c9789a8d16e165f7fdb_farkbilisim.com_1250X938--a--a.jpeg	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/resim_cache/141-072ea05766818c9789a8d16e165f7fdb_farkbilisim.com_1250X938--a--a.jpg	(from http://citylinegroup.com.tr/ru/city_marina.html)
01:00:02	645364/645364	---M--	200	added ('OK')	image/jpeg	etag:%229d8f4-5bc40f63e0925%22	http://citylinegroup.com.tr/sayfa/resim_cache/141-19984407128c361c03ff149edc3ce3d0_farkbilisim.com_1250X938--a--a.jpeg	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/resim_cache/141-19984407128c361c03ff149edc3ce3d0_farkbilisim.com_1250X938--a--a.jpg	(from http://citylinegroup.com.tr/ru/city_marina.html)
01:00:21	558585/558585	---M--	200	added ('OK')	image/jpeg	etag:%22885f9-5bc40f63ed82d%22	http://citylinegroup.com.tr/sayfa/resim_cache/141-16e63d955f7bb9bd1125ce02e37b3b5c_farkbilisim.com_1250X938--a--a.jpeg	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/resim_cache/141-16e63d955f7bb9bd1125ce02e37b3b5c_farkbilisim.com_1250X938--a--a.jpg	(from http://citylinegroup.com.tr/ru/city_marina.html)
01:00:44	590499/590499	---M--	200	added ('OK')	image/jpeg	etag:%22902a3-5bc40f63f4975%22	http://citylinegroup.com.tr/sayfa/resim_cache/141-74862d0fcd7bd46e4702b1eac70e6d41_farkbilisim.com_1250X938--a--a.jpeg	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/resim_cache/141-74862d0fcd7bd46e4702b1eac70e6d41_farkbilisim.com_1250X938--a--a.jpg	(from http://citylinegroup.com.tr/ru/city_marina.html)
01:01:28	358163/358163	---M--	200	added ('OK')	image/jpeg	etag:%2257713-5bc40f66213b5%22	http://citylinegroup.com.tr/sayfa/resim_cache/141-2f869a9eac161032ab7eaf229de5a266_farkbilisim.com_1250X703--a--a.jpeg	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/resim_cache/141-2f869a9eac161032ab7eaf229de5a266_farkbilisim.com_1250X703--a--a.jpg	(from http://citylinegroup.com.tr/ru/city_marina.html)
01:01:35	567125/567125	---M--	200	added ('OK')	image/jpeg	etag:%228a755-5bc40f6430e4d%22	http://citylinegroup.com.tr/sayfa/resim_cache/141-1c0c6f490ebbced02deaa7c55d5f3f81_farkbilisim.com_1250X938--a--a.jpeg	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/resim_cache/141-1c0c6f490ebbced02deaa7c55d5f3f81_farkbilisim.com_1250X938--a--a.jpg	(from http://citylinegroup.com.tr/ru/city_marina.html)
01:01:49	609683/609683	---M--	200	added ('OK')	image/jpeg	etag:%2294d93-5bc40f6631585%22	http://citylinegroup.com.tr/sayfa/resim_cache/141-c11aac98cf35c94e9ad7d767cb2458c3_farkbilisim.com_1250X938--a--a.jpeg	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/resim_cache/141-c11aac98cf35c94e9ad7d767cb2458c3_farkbilisim.com_1250X938--a--a.jpg	(from http://citylinegroup.com.tr/ru/city_marina.html)
01:01:59	405029/405029	---M--	200	added ('OK')	image/jpeg	etag:%2262e25-5bc40f650ba4d%22	http://citylinegroup.com.tr/sayfa/resim_cache/141-52f5835c1186092e8a780dd57635d74c_farkbilisim.com_1250X703--a--a.jpeg	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/resim_cache/141-52f5835c1186092e8a780dd57635d74c_farkbilisim.com_1250X703--a--a.jpg	(from http://citylinegroup.com.tr/ru/city_marina.html)
01:02:25	341093/341093	---M--	200	added ('OK')	image/jpeg	etag:%2253465-5bc40f65adc0d%22	http://citylinegroup.com.tr/sayfa/resim_cache/141-1cc15e0ca7d1e726f352e09767ca4128_farkbilisim.com_1250X703--a--a.jpeg	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/resim_cache/141-1cc15e0ca7d1e726f352e09767ca4128_farkbilisim.com_1250X703--a--a.jpg	(from http://citylinegroup.com.tr/ru/city_marina.html)
